nIter,residual
300,0.01913247603166756
301,0.018886083410269029
302,0.018697941280584253
303,0.018567344096274505
304,0.018492568137428143
305,0.018470509974623156
306,0.018498206471236886
307,0.018572001103215306
308,0.018689489918083387
309,0.01884805753152468
310,0.01904687757249934
311,0.019284873068198136
312,0.019562571197792665
313,0.019879748913344625
314,0.020237073432461606
315,0.020633750239044336
316,0.021068942059155198
317,0.021539712144195269
318,0.022042287847248584
319,0.022570555223289341
320,0.023117292472761768
321,0.023673361444030028
322,0.024228975246838216
323,0.024773510522046297
324,0.025296710926138624
325,0.025788829775875766
326,0.026241558735135676
327,0.026648153616869008
328,0.027003914447796325
329,0.027306067178893965
330,0.027553769460957746
331,0.027747720702972618
332,0.027889823977413554
333,0.027982662240880862
334,0.028029027294330867
335,0.028031464514160429
336,0.027991858905426697
337,0.027911213147636477
338,0.027789390806878492
339,0.027625201493494133
340,0.027416302894707006
341,0.027159580313213642
342,0.026851147646038319
343,0.026486956229232427
344,0.026062817939216047
345,0.02557515740896615
346,0.025020991789640519
347,0.024398737639371171
348,0.023708104973742958
349,0.022950877176207144
350,0.022130702385083006
351,0.021253776794692918
352,0.020328536013690293
353,0.019366180667974801
354,0.018380270873794419
355,0.017387021227117706
356,0.016404758725981863
357,0.015453851920733
358,0.014555873261223991
359,0.013732903607155185
360,0.01300610615007055
361,0.012394196751784027
362,0.011911484137225115
363,0.011566225140974442
364,0.011359519948814812
365,0.011285535679430423
366,0.011332757785134586
367,0.011486412525050485
368,0.011730629382446671
369,0.012050725136777046
370,0.012434018810175602
371,0.012870750030353083
372,0.013353431313346696
373,0.013876965018596178
374,0.014437402425509784
375,0.015031954938738117
376,0.015657760034276404
377,0.016312067371197374
378,0.016991255706534897
379,0.017691221854434377
380,0.018406719273836358
381,0.0191318893790773
382,0.019859914288207568
383,0.020583601545349297
384,0.021295292944132117
385,0.021987403382978943
386,0.022652496895946013
387,0.023283689051225902
388,0.023874799336037412
389,0.024420556477532454
390,0.024916759584975565
391,0.025360266710825679
392,0.025749130541505086
393,0.026082388107024193
394,0.026360166427794849
395,0.026583317303060624
396,0.026753508470199059
397,0.026872761318879515
398,0.026943554336057739
399,0.026968325793704589
400,0.026949619855436494
401,0.026889611610649063
402,0.026790321738703805
403,0.026653207170456335
404,0.026479457457443852
405,0.026269672359827297
406,0.026024235160589968
407,0.025743073961037425
408,0.025426090082632486
409,0.025072979578259894
410,0.024683683842097147
411,0.024258236274360159
412,0.023797199246530999
413,0.023301498904121361
414,0.022772816928509236
415,0.022213382823897707
416,0.021626298644659005
417,0.021015270439545018
418,0.020384856881547609
419,0.01974013633888036
420,0.019086882853312635
421,0.018431178084272783
422,0.01777952696760083
423,0.017138431159156198
424,0.016514461375430767
425,0.01591381215361375
426,0.015342353158422788
427,0.014805190899231237
428,0.014306734812640247
429,0.013850305591571891
430,0.013438272371786054
431,0.013071759904833696
432,0.012750919164506347
433,0.012474770169651678
434,0.01224163298078795
435,0.01204908795127888
436,0.011894526971596606
437,0.01177515317999234
438,0.011688562866322989
439,0.011632688487298152
440,0.011606317641266982
441,0.011608904369090576
442,0.011640950474835788
443,0.011703638171545336
444,0.011799021411807579
445,0.011929468581478031
446,0.012097661412772189
447,0.012305911647739965
448,0.012556062610397808
449,0.012848844190246953
450,0.01318385558325718
451,0.013559149972805665
452,0.0139714401962516
453,0.014415993493681568
454,0.014887054156884717
455,0.015377971788554859
456,0.015881714739481686
457,0.016391086342634132
458,0.016899190877694734
459,0.017399622403757389
460,0.017886796928296041
461,0.018356057611825679
462,0.018803837962505801
463,0.019227670152625193
464,0.019626174650639074
465,0.01999898290822924
466,0.020346568098808859
467,0.020670111283139544
468,0.020971206782709174
469,0.02125171874812681
470,0.021513414933276555
471,0.021757875166471929
472,0.021986121059638111
473,0.022198638885333358
474,0.022395068394672941
475,0.022574381175858974
476,0.022734664464202567
477,0.022873455236097604
478,0.022987614422682233
479,0.023073773522371437
480,0.023128260345451058
481,0.023147587995867268
482,0.02312837992992858
483,0.023067829008575937
484,0.022963578518335432
485,0.022814096482706877
486,0.022618491503778756
487,0.022376773541462409
488,0.022089608440220839
489,0.02175846148528705
490,0.021385315209697844
491,0.020972711175136164
492,0.020523469140117653
493,0.020040654341362877
494,0.019527342073463023
495,0.018986542895481833
496,0.018421055937197832
497,0.017833384013373376
498,0.017225712389748991
499,0.016599840719590978
500,0.015957312771128853
501,0.015299384290281567
502,0.014627316694010309
503,0.013942394381850767
504,0.013246389125055982
505,0.012541645966413842
506,0.011831735191914812
507,0.011121650447070542
508,0.010418690843267261
509,0.0097328328638438873
510,0.0090778423787117382
511,0.0084716850133444363
512,0.0079373173765869796
513,0.0075018483405661415
514,0.0071946112163786859
515,0.0070420857507775304
516,0.0070618050501555386
517,0.007256779433345596
518,0.0076149202350637825
519,0.008112816003268658
520,0.0087220622338052573
521,0.0094141847006870005
522,0.010163644160286332
523,0.010948702552300618
524,0.011751474765040532
525,0.01255737357885486
526,0.013354648598113897
527,0.01413382633144163
528,0.014887386610732335
529,0.015609380587338916
530,0.016295253043117023
531,0.016941568255916407
532,0.017545909749603864
533,0.01810665109045469
534,0.018622889650805264
535,0.019094233551783715
536,0.019520752171677442
537,0.019902774741786242
538,0.020240856639227735
539,0.020535598613697879
540,0.020787635741731487
541,0.020997490897785989
542,0.021165594092981271
